question,answer_choices,data_source
"You are a successful entrepreneur who has decided to sponsor a child's education in a developing country. However, you discovered that the child's family is using the money for other purposes instead of education. Should you continue to sponsor the child despite knowing your money is not being used for its intended purpose?",(A) Continue sponsoring. \n (B) Stop sponsoring.,dilemmas
"John is a professional football player who recently suffered a serious knee injury. Despite the doctor's advice to rest and recover, he is pressured by his coach and teammates to continue playing for the sake of the team's success. Should John prioritize his long-term health over the immediate needs of the team?",(A) Continue Playing. \n (B) Rest and Recover.,dilemmas
"You are a restaurant manager. One of your employees has been consistently rude to customers, but is also the most efficient worker. Should you fire the employee for their rudeness, even if it may negatively impact your restaurant's operation?",(A) Fire the Employee. \n (B) Don't Fire the Employee.,dilemmas
"Sarah is a manager who always tries to maintain a positive atmosphere in her team. Her subordinate, Tom, consistently fails to meet deadlines which affects the team's overall performance, but she fears that reprimanding him could ruin the positive environment. Should Sarah continue being nice and ignore Tom's failing performance or take necessary actions to maintain team efficiency?",(A) Continue being nice. \n (B) Confront Tom.,dilemmas
"You're a young professional with multiple credit and debit cards in your wallet. At a restaurant, the waiter accidentally charges a less expensive bill to your account. Should you inform the waiter of the mistake or keep quiet and enjoy the unexpected discount?",(A) Inform the waiter. \n (B) Keep quiet.,dilemmas
"John, a non-religious person, often seeks solace in a nearby church due to its peaceful ambiance. One day, he overhears a confession revealing a crime will be committed at a future date. Should John report this to the authorities, breaking the sanctity of the confessional box?",(A) Report the confession. \n (B) Not report the confession.,dilemmas
"Your father has been an alcoholic for years and it's causing tension within the family. You've just learned that your younger sibling has been stealing money from your father's wallet to pay for therapy sessions. Should you confront your sibling about stealing and potentially ruin their source of emotional support, or should you remain silent and allow the theft to continue?",(A) Confront the sibling. \n (B) Remain silent.,dilemmas
"You are a therapist with a new patient who is dealing with severe mental health issues. The patient has confided in you about their plans to harm themselves, which makes you, as a professional, legally obligated to inform the authorities for their safety. Do you respect your patient's privacy and not report them, or do you breach their confidentiality for their own safety?",(A) Report the patient. \n (B) Not report the patient.,dilemmas
"Your spouse has recently become very religious and wants your children to attend church every Sunday. You respect their beliefs, but you also believe in giving your children the freedom to explore and decide their own beliefs. Should you allow your spouse to take your children to church every Sunday, or insist on letting your children decide when they're older?",(A) Allowing Spouse to take children to church. \n (B) Not allowing Spouse to take children to church.,dilemmas
"You've been working in a dead-end job for years and you feel like you aren't living up to your potential. You've been offered a new job that pays significantly more and offers better career prospects, but it involves working for a company that has questionable ethics. Do you take the job and improve your personal situation at the risk of compromising your ethical standards?",(A) Take the job. \n (B) Reject the job.,dilemmas
"You've been working on a project at work that has been taking longer than expected. You've been taking work home and working late hours, causing you to neglect your personal life and health. Should you continue to sacrifice your personal time for work, or prioritize your health and personal life?",(A) Continue sacrificing personal time for work. \n (B) Prioritize health and personal life.,dilemmas
"You've always loved music and singing, and you want to share this passion with your children. However, your spouse tells you that your singing is too loud and is affecting the children's study time. Should you continue singing at home, potentially disrupting your children's concentration, or find another way to express your love for music?",(A) Continue singing at home. \n (B) Stop singing at home.,dilemmas
"A hairdresser has a client who always requests a particular haircut that doesn't suit them. The hairdresser believes it's their professional duty to give clients the best advice and service, but doesn't want to hurt the client's feelings. Should the hairdresser continue to give the client the haircut they want, or suggest a more suitable style?",(A) Continue giving the client the unsuitable haircut. \n (B) Suggest a more suitable style.,dilemmas
"As a language teacher, you're teaching a foreign language to a class full of eager students. During the lesson, you realize you've been mispronouncing a key word throughout the entire class. Should you admit your mistake and correct it potentially losing credibility, or continue teaching it incorrectly to save face?",(A) Admit mistake. \n (B) Continue teaching incorrectly.,dilemmas
"You have been in a romantic relationship for years and have completely wrapped your identity and self-worth around your partner's opinion of you. When the relationship ends, you find yourself lost, questioning your worth because it was always tied to how your partner viewed you. Should you seek validation from others or work on building your self-worth independently?",(A) Seeking validation from others. \n (B) Not building self-worth independently.,dilemmas
"John is an atheist and his friends are all devoutly religious. They constantly criticize him for his choice, making him feel isolated and attacked for his beliefs. Should John confront his friends about their behavior even if it risks damaging their friendships?",(A) Confronting friends. \n (B) Not confronting friends.,dilemmas
"As an artist, you've been creating art pieces for years out of sheer passion and enjoyment. However, a wealthy collector has offered to buy one of your pieces for a high price, but they intend to privately own it, preventing the public from viewing it. Should you sell your artwork for personal profit even if it means limiting its accessibility to the public?",(A) Selling the Artwork. \n (B) Not Selling the Artwork.,dilemmas
"John, a talented but underappreciated musician, is incredibly envious of his friend Paul's successful music career. John has been asked to write a negative review about Paul's latest album, which he knows is excellent, but doing so could potentially propel his own career forward. Should John compromise his integrity and friendship to advance his career?",(A) Write a negative review. \n (B) Not to write a negative review.,dilemmas
"You are attending a charity event hosted by a close friend. You feel unwell and want to leave, but your friend is counting on your presence for support and visibility. Should you leave the event to take care of your health or stay and support your friend despite feeling unwell?",(A) Leaving the charity event. \n (B) Staying at the charity event.,dilemmas
"John is a deeply religious person who believes homosexuality is a sin. His son comes out as gay, putting John's religious beliefs in conflict with his love for his son. Should John choose to accept his son's sexual orientation or stick to his religious beliefs?",(A) Accept his son's sexual orientation. \n (B) Stick to his religious beliefs.,dilemmas
John is a professional athlete who has recently started feeling pain during his trainings. His coach insists that he should continue training despite the pain for the team's upcoming championship. Should John prioritize his health and stop training or ignore the pain and continue for the benefit of the team?,(A) Continue training despite pain. \n (B) Stop training to prioritize health.,dilemmas
"You're a fashion enthusiast and a passionate blogger. You've been given a free dress by a company on the condition that you only post positive reviews about it, even though it doesn't fit you well. Should you compromise your authenticity and mislead your followers for the sake of maintaining your relationship with the company?",(A) Agree to post positive reviews. \n (B) Refuse to post fake reviews.,dilemmas
"You are a student who is struggling with a particular assignment due to personal issues. You have a friend who is very good at this subject, but they have asked in the past that you don't ask them for homework help because they feel it promotes academic dishonesty. Should you respect your friend's wishes and not ask for help, potentially risking your grade, or should you ask them for help and risk damaging your friendship?",(A) Ask for help. \n (B) Not ask for help.,dilemmas
"Sam has recently acquired a handicap permit through questionable means. He doesn't need it but uses it to gain benefits like parking privileges. Should he continue to use the permit, knowing he's taking advantage of a system meant to assist people with real disabilities?",(A) Use the handicap permit. \n (B) Not to use the handicap permit.,dilemmas
"At a public beach, a child is throwing sand at other beachgoers. The child's parents are not stopping their child, causing discomfort and annoyance to others. Should the onlookers intervene and reprimand the child or respect the parents' authority and stay silent?",(A) Intervene. \n (B) Not Intervene.,dilemmas
"You've borrowed a rare book from a friend who's an avid collector. In the meantime, your sibling, unaware of the book's origin, accidentally damaged it severely. Should you return the book as it is and tell your friend the truth, or should you try to find a replacement without letting your friend know?",(A) Return the damaged book and tell the truth. \n (B) Find a replacement without telling.,dilemmas
"You're at the library looking for a new book to read. You find a book that is the last copy, but you overhear someone saying how they have been looking for this book everywhere. Do you put the book back on the shelf for the other person to find, or do you check it out for yourself?",(A) Take the book. \n (B) Leave the book.,dilemmas
Sarah and John are in a committed relationship and have a mutual understanding of transparency. Sarah discovers she has a health issue that could affect their future plans but fears it might worry John too much. Should Sarah disclose her health issue to John despite her fear of causing him distress?,(A) Tell John about the health issue. \n (B) Not tell John about the health issue.,dilemmas
You have received an invitation to a close friend's party but you know it will be crowded and not COVID-safe. You are torn between your loyalty to your friend and your commitment to public health safety. Should you ignore the invitation or attend the party to support your friend?,(A) Attend the party. \n (B) Ignore the invitation.,dilemmas
"A pharmaceutical company is struggling to create a successful medicine for a deadly disease. However, they discover a less ethical method of testing that could potentially speed up the process significantly. Should they pursue the rapid yet unethical method to possibly save lives sooner, or stick to their ethical guidelines and potentially delay the cure?",(A) Pursue the unethical method. \n (B) Stick to ethical guidelines.,dilemmas
"A young woman is traveling alone and feels lonely. She sees a man sitting alone and thinks about striking up a conversation with him but she's aware that her actions could be misinterpreted or make the man uncomfortable. Should she initiate a conversation with the stranger despite the potential risks, or keep to herself to avoid any potential misunderstanding?",(A) Initiating a conversation. \n (B) Not initiating a conversation.,dilemmas
"The advertising industry often employs digital manipulation to enhance the physical appearances of humans in ads. This can create unrealistic body image expectations, contributing to self-esteem issues and eating disorders among consumers, especially young people. Should advertisers continue to digitally manipulate images in their ads, knowing the potential harm it could cause to consumers' mental health?",(A) Continue digital manipulation. \n (B) Discontinue digital manipulation.,dilemmas
"You've invited an acquaintance to your birthday party, but they're known for drinking excessively and causing scenes. During the party, they become intoxicated and start to behave inappropriately, making your other guests uncomfortable. Should you ask the acquaintance to leave, potentially damaging your relationship, or allow them to stay and potentially ruin the party for your other guests?",(A) Ask the acquaintance to leave. \n (B) Allow the acquaintance to stay.,dilemmas
"You've been planning a birthday party and invited a close friend who recently had a falling out with another friend. Now, the other friend is upset and doesn't want to attend if the first friend is present, putting you in the middle of their feud. Should you uninvite the first friend to ensure the second one attends, or risk creating more tension by keeping the original guest list?",(A) Uninvite the first friend. \n (B) Keep the original guest list.,dilemmas
"The parents of a newborn baby have differing views on privacy. The mother wants to share the news immediately with their entire extended family, while the father wants to keep it private for a few days to enjoy the moment silently. Should the mother respect her partner's wishes and delay the announcement, or should she share the news with her family as she wishes?",(A) Share the news immediately. \n (B) Delay the announcement.,dilemmas
"John has lived a life full of regrets, one of which is failing to pursue his passion for art. Instead, he chose a stable job in corporate sector, but seeing his artist friends doing well, he is conflicted whether to give up his high paying job. Should John risk his financial stability to pursue his passion for art?",(A) Pursue Art Career. \n (B) Stay in Corporate Job.,dilemmas
"Your best friend has been drinking excessively and it's affecting his health and personal life. You believe he should go to AA meetings, but he has always been adamant about handling his problems on his own. Should you break his trust and inform his family about his drinking problem so they can intervene?",(A) Inform his family. \n (B) Keep his secret.,dilemmas
"You're an influencer with a large following, often posting pictures when you're tired online. One night, you unknowingly post a picture that includes a sensitive document in the background. Should you delete the post risking your reputation but protecting the sensitive information, or leave it up and risk the information being misused?",(A) Deleting the Post. \n (B) Not Deleting the Post.,dilemmas
Your friend tells you about their struggle with substance abuse. They are a school bus driver and you fear for the safety of the children. Should you report your friend to their employer?,(A) Report to Employer. \n (B) Not Reporting.,dilemmas
"John is a devout Catholic who believes in the sanctity of all human life. He works in a hospital where a patient is suffering tremendously and requests assisted suicide. Should John approve the patient's request, going against his religious beliefs, or deny it, forcing the patient to continue suffering?",(A) Approve Assisted Suicide. \n (B) Deny Assisted Suicide.,dilemmas
"You own a small business and are in need of more staff. One of your friends is unemployed and looking for work, but they don't have the exact skills needed for the job. Should you hire your friend because they need the job, or look for a more qualified candidate?",(A) Hiring the friend.. \n (B) Not hiring the friend..,dilemmas
"You and your partner have recently separated, and you have primary custody of the children. Your partner has unhealthy eating habits and doesn't understand the importance of nutrition, leading you to worry about the children's health when they're with them. Should you allow your partner to take care of the children, potentially neglecting their nutritional needs, or deny them the right to spend time with their children?",(A) Allowing the partner to take care of the children. \n (B) Denying the partner the right to spend time with the children.,dilemmas
"After losing his wife to cancer, John has recently moved on and is contemplating remarriage. However, his deceased wife's family strongly disapproves of him remarrying as they believe it dishonors her memory. Should John respect his late wife's family's wishes and remain single or should he pursue his own happiness and remarry?",(A) Remarry. \n (B) Not Remarry.,dilemmas
"Sarah, a dedicated environmental activist, dreams of launching a large-scale recycling program in her city. She discovers an investment opportunity that could fund her project, but the company behind it is known for unethical practices. Should Sarah accept the funding and advance her project, knowing it comes from a potentially harmful source?",(A) Accepting the funding. \n (B) Rejecting the funding.,dilemmas
"You are a college student preparing for a crucial exam tomorrow. You've promised your younger sibling that you would help them with their school project tonight, but studying for your exam will require you to stay up all night. Should you prioritize your academic success over your commitment to your sibling?",(A) Prioritize studying for exam. \n (B) Assist younger sibling with project.,dilemmas
"You have been dating your boyfriend for several years and you have always known about his involvement in minor illegal activities. Recently, his actions have escalated and he has begun dealing drugs which is putting both of you in danger. Do you report him to the authorities, knowing it could result in his imprisonment, or do you stay silent, potentially endangering both of your lives?",(A) Report him. \n (B) Stay Silent.,dilemmas
"Liam is a recovering alcoholic whose friends are keenly invested in his sobriety. His friends decide to have an intervention and force him into rehab, against his will, believing it's for his own good. Should Liam's friends respect his choices even when they believe he's endangering his own life?",(A) Force Liam into rehab. \n (B) Respect Liam's choices.,dilemmas
You're on a vacation with a group of friends. One friend consistently behaves badly and is ruining the vacation for everyone else. Do you ditch this friend to ensure the rest of the group can enjoy their vacation?,(A) Ditch the Friend. \n (B) Not Ditch the Friend.,dilemmas
You're out for dinner with your boss who insists on paying for your meal. You have always believed in paying for your own expenses and feel uncomfortable with others paying for you. Should you insist on paying for your meal despite the potential for creating an awkward situation or upsetting your boss?,(A) Insist on paying. \n (B) Not insist on paying.,dilemmas
You have a significant amount of schoolwork and also want to participate in a local charity event. You have time to do one or the other but not both. Do you prioritize your academic responsibilities or engage in the charity event for a noble cause?,(A) Prioritize Academic Responsibilities. \n (B) Participate in the Charity Event.,dilemmas
"You are an active user on an online platform where you frequently see someone trolling others. You've noticed that this person targets individuals who are vulnerable and less knowledgeable about the topic, making them feel embarrassed and ashamed. Do you report this person to the site administrators, potentially getting them banned, or do you stay silent, not interfering with their freedom of speech?",(A) Report the Troll. \n (B) Stay Silent.,dilemmas
Your brother has been unemployed for a long time and it's putting a financial strain on your family. Your friend owns a small business and he is looking for an employee but your brother doesn't have the required skills for the job. Should you ask your friend to hire your brother anyway?,(A) Ask friend to hire brother. \n (B) Don't ask friend to hire brother.,dilemmas
A man discovers his brother is involved in illegal drug dealing. He is torn between his loyalty to his brother and his moral obligation to report crimes. Should he report his brother to the police or protect him by keeping silent?,(A) Report his brother. \n (B) Not report his brother.,dilemmas
"You have decided to foster cats from a local animal shelter. One of the cats you are fostering appears to be pregnant, but the shelter has a policy of neutering all animals before they are rehomed. Should you respect the shelter's policy and have the cat neutered, or let her have her kittens?",(A) Respect Shelter's Policy. \n (B) Let Cat Have Kittens.,dilemmas
"Jane, a successful entrepreneur, often finds herself immersed in memories of her tumultuous past. She believes that by reliving her past struggles, she's able to empathize with the underprivileged and use her time and resources to help them, but she also realizes that this obsession with the past is preventing her from focusing on her present endeavors. Should Jane continue to dwell on her past experiences and help others, or should she let go of the past and concentrate on her current projects?",(A) Continue dwelling on past experiences. \n (B) Let go of the past and focus on current projects.,dilemmas
"You've learned to be in touch with your emotions and express them openly. This has led you to be completely honest about your feelings with your close friend, potentially damaging the friendship. Should you suppress your feelings to maintain the friendship or voice them out and risk losing it?",(A) Expressing emotions openly. \n (B) Suppressing emotions.,dilemmas
"You've always had a close bond with your siblings and you assume they will always like you. However, after a heated argument, they express that they do not like you anymore due to a perceived pattern of selfish behavior. Should you confront them about this, risking another argument, or should you reflect on their criticisms and make efforts to change?",(A) Confronting them. \n (B) Ignoring their criticisms.,dilemmas
"You are a gay man and your conservative family invites you to a religious event that condemns homosexuality. You hate the idea but you also don't want to upset your family by not attending. Should you go to the event and pretend to agree with the views being expressed or should you refuse to attend, potentially causing a rift in your family?",(A) Attend the event. \n (B) Refuse to attend.,dilemmas
You're a student and overhear two classmates discussing answers to an upcoming exam. You're faced with the ethical dilemma of whether to report academic dishonesty that doesn't directly affect your grade. Do you alert the teacher or keep quiet and mind your own business?,(A) Report Academic Dishonesty. \n (B) Stay Quiet.,dilemmas
Harold is a hardworking individual who is constantly struggling with his finances. He believes that stealing money from his corrupt employer will solve his financial problems and justifies it by saying his employer doesn't pay him enough. Should Harold steal from his employer to alleviate his financial struggles?,(A) Stealing from employer. \n (B) Not stealing from employer.,dilemmas
"John has grown up in a family that didn't emphasize any particular set of beliefs or values. One day, his friend steals a candy bar from a store, and John doesn't know whether he should report his friend or keep quiet. Should John report his friend for stealing, even if it might harm their friendship?",(A) Report the theft. \n (B) Not report the theft.,dilemmas
"You have been dating someone who dreams of having a big family, but you have recently discovered that you are medically unable to have children. This creates a moral dilemma because you love your partner and want them to be happy, but you're unsure whether withholding this information will cause them more pain in the long run. Should you tell your partner about your medical condition and potentially risk the relationship, or keep quiet and hope for the best?",(A) Tell your partner about your medical condition. \n (B) Keep quiet about your medical condition.,dilemmas
"You are an aid-worker tasked with deciding the location of your next mission. Your organization has enough resources to help only one of two communities: one is suffering from an acute water shortage, while the other is dealing with the aftermath of a severe earthquake. Should you prioritize the community with the water shortage or the community affected by the earthquake?",(A) Prioritize the community with water shortage. \n (B) Not prioritize the community with water shortage.,dilemmas
"Pet tarantulas are exotic pets which require specific care and environment to thrive. However, they are often captured from the wild, disrupting their natural habitats and populations. Should one support this potentially harmful industry by purchasing a tarantula as a pet?",(A) Purchasing a pet tarantula. \n (B) Not purchasing a pet tarantula.,dilemmas
"A group of friends loves to play pranks on each other for fun. One friend, who is afraid of spiders, gives consent for the group to prank him but doesn't know it involves a fake spider. Should the group carry out the prank knowing it could severely scare their friend?",(A) Carry out the prank. \n (B) Not carrying out the prank.,dilemmas
"You are a member of a respected choir group that often participates in charity events. One day, the choir director decides to accept a significant donation from a company known for its unethical practices. Do you continue to perform under the director's leadership knowing the source of the funding or voice your concerns and potentially risk your position in the choir?",(A) Continue to perform. \n (B) Voice your concerns.,dilemmas
"Your children have become increasingly absorbed in playing video games. You observe that their school performance has started to decline, and they are not engaging in physical activities as much. Should you strictly limit their gaming time, potentially infringing on their personal freedom and autonomy, or let them continue, risking their health and academic performance?",(A) Limiting Gaming Time. \n (B) Not Limiting Gaming Time.,dilemmas
"During a school trip, a group of students decide to go swimming in a lake that is off-limits. One of the students struggles in the water and starts to drown, but saving him might alert the teachers and result in all the students getting punished. Should the students risk getting in trouble in order to save their friend?",(A) Save the drowning friend. \n (B) Not save the drowning friend.,dilemmas
"Sarah is a doctor who has discovered a new, experimental treatment for a lethal disease. She is unsure if she should tell her terminally ill patients about it as the treatment is not yet officially approved. Should she inform her patients about this potentially life-saving treatment while risking false hope?",(A) Informing patients about the experimental treatment. \n (B) Not informing patients about the experimental treatment.,dilemmas
"You have been looking after a close family member who is terminally ill and in great pain. The family member asks you to assist them in ending their life to escape the pain. Do you respect their wish and assist, or inform the medical professionals about their request?",(A) Assisting in ending life. \n (B) Informing medical professionals.,dilemmas
"After a painful breakup, Lisa has started dating again and has met someone she really likes. However, she hasn't entirely moved on from her ex and still has lingering feelings for him. Should Lisa continue dating the new person while she still has feelings for her ex?",(A) Continue Dating. \n (B) Not Continue Dating.,dilemmas
"As a pet owner, you always ensure your pet is properly secured while riding in a car. One day, you forget the pet's harness at home and need to drive to the vet for an urgent appointment. Do you risk the journey without securing your pet or cancel the urgent vet appointment?",(A) Risk the journey. \n (B) Cancel the vet appointment.,dilemmas
"You are a beginner learning to play the piano. Your piano teacher, who is a family friend, is not a good teacher and often doesn't correct your mistakes, which is hindering your progress. Should you continue with the lessons out of loyalty and risk not improving, or should you find a new teacher and possibly hurt the friend's feelings?",(A) Continue Lessons. \n (B) Find a New Teacher.,dilemmas
"You've been studying tirelessly for your upcoming final exam, desperate to pass the subject. Your friend, who hasn't studied at all, begs you to let them cheat off your paper during the test. Should you risk your own academic integrity and future to help your friend pass?",(A) To let friend cheat. \n (B) Not to let friend cheat.,dilemmas
"John, a talented but self-doubting graphic designer, has been offered an opportunity to showcase his work at a prominent art gallery. However, he fears that his work is not good enough and contemplates plagiarizing a lesser-known artist's work to secure his success. Should John showcase his own work, risking potential criticism, or present the plagiarized work, ensuring praise but compromising his integrity?",(A) Showcasing Own Work. \n (B) Plagiarizing Another's Work.,dilemmas
"You have planned a surprise birthday party for another friend. You want to invite your friend to the party, but they are great at keeping secrets and might accidentally reveal the surprise. Do you risk spoiling the surprise and tell your friend about the party?",(A) Telling the friend about the surprise party.. \n (B) Not telling the friend about the surprise party..,dilemmas
Your sister is suffering from a severe addiction and has been stealing from your parents to support her habit. You've discovered this but your sister pleads with you not to tell your parents as she promises to get clean on her own. Should you respect your sister's wish and not tell your parents or betray her trust and inform them?,(A) Telling the Parents. \n (B) Not Telling the Parents.,dilemmas
You've been asked by your friend to help him cheat on a test because he's failing the class. You know that he's been going through some personal issues and hasn't been able to focus on his studies. Should you help him cheat on the test or convince him to seek help from his professor?,(A) Helping friend cheat. \n (B) Not assisting in cheating.,dilemmas
"John is a college student who tends to procrastinate until the last minute. He finds a completed assignment online that is identical to the one he's supposed to submit tomorrow. Should he submit the completed assignment as his own to secure a good grade, or should he submit his own incomplete work and risk failing?",(A) Submit the completed assignment as his own. \n (B) Submit his own incomplete work.,dilemmas
"In a military institution, there is an annual tradition of honoring exemplary service. A female soldier, who is openly homosexual, has shown outstanding service, but the conservative group of leaders is reluctant to honor her due to her sexual orientation. Should the institution disregard her sexual orientation and honor her for her service or uphold the conservative views of its leaders?",(A) Honor the female soldier disregarding her sexual orientation. \n (B) Uphold conservative views and not honor the female soldier..,dilemmas
"As the manager of a busy restaurant, you have the authority to delegate tasks to your staff. You notice that one of your employees is consistently late and not completing his duties, but he is also a single father struggling financially. Should you discipline the employee and potentially jeopardize his job, or overlook his shortcomings because of his personal circumstances?",(A) Discipline the Employee. \n (B) Overlook the Employee's Shortcomings.,dilemmas
"While working at a summer camp, you notice a wasp nest near the playground. You worry that leaving the nest might put the children at risk, but also know that destroying it would kill the wasps. Do you risk the safety of the children or do you harm the wasps to protect the kids?",(A) Destroy the Wasp Nest. \n (B) Leave the Wasp Nest.,dilemmas
"As a talented artist, you've been developing your skills and gaining recognition in the art community. A wealthy patron offers a large sum of money if you create a piece that promotes a political agenda, which you personally disagree with. Should you compromise your personal beliefs for the sake of financial gain?",(A) Accept the Offer. \n (B) Decline the Offer.,dilemmas
"You are a talented individual who has always been the star player in every team you've been a part of. After joining a new team, you realize that you could easily outshine your teammates but doing so could demoralize them and affect the overall team spirit. Should you downplay your skills and potential to promote team unity or continue to perform at your best and risk causing discord?",(A) Outshine teammates. \n (B) Downplay skills.,dilemmas
"You are staying at a friend's house after losing your apartment due to financial struggles. You've been there for several months longer than initially agreed upon, and you know it's becoming a burden on your friend, yet you still haven't found a stable place to live. Should you continue to stay, causing inconvenience to your friend, or leave and risk becoming homeless?",(A) Continue to Stay. \n (B) Leave.,dilemmas
"Alice is an introverted individual who enjoys her solitude more than socializing. Her friends are hurt by her constant refusals to hang out and feel she is intentionally isolating herself. Should Alice force herself to spend more time with her friends to maintain these relationships, even if it drains her mentally?",(A) Force herself to socialize. \n (B) Keep refusing to socialize.,dilemmas
"You received a substantial amount of gift cards from your job. You consider giving these cards as birthday gifts to your friends, but you also question if it's ethical since they weren't purchased. Should you give out these cards or buy new gifts with your own money?",(A) Give the gift cards. \n (B) Not give the gift cards.,dilemmas
"Sam, a street artist, is passionate about creating public art to express his ideas and emotions. However, his medium of expression often involves painting on other people's properties without their consent. Should Sam stop his artistry to respect private property even if it means suppressing his self-expression?",(A) Continue Street Artistry. \n (B) Stop Street Artistry.,dilemmas
"You are a high school student and have been recently practicing to get better at basketball. You discover that you can easily win games by exploiting a loophole in the rules, but it feels unfair to other players. Should you continue to use the loophole to win or play fairly even if it might cost you the game?",(A) Exploit the loophole. \n (B) Play fairly.,dilemmas
"You and your younger sibling are home alone and enjoy playing jokes on each other. You've thought of a funny joke that involves pretending to be a burglar, but you know your sibling has been scared by recent news of break-ins in the neighborhood. Should you go ahead with the joke, knowing it may really frighten your sibling?",(A) Perform the joke. \n (B) Not perform the joke.,dilemmas
"You've had a slip-up and cheated on your significant other, feeling guilty about your actions. You want to confess to your partner, but you're also afraid of hurting them unnecessarily if they never find out about the infidelity. Should you tell your partner about your infidelity and potentially hurt them, or keep it to yourself to avoid causing them pain?",(A) Confessing Infidelity. \n (B) Keeping the Infidelity a Secret.,dilemmas
Your teenage daughter has been acting distant and her grades have dropped significantly. You discovered her private diary accidentally and noticed it was filled with expressions of sadness and loneliness. Should you read the diary to understand her feelings better or respect her privacy?,(A) Read the Diary. \n (B) Respect her Privacy.,dilemmas
"You're an avid hunter with a trained retriever dog that assists in finding ducks. However, you realize that the dog becomes extremely exhausted and stressed after each hunting session. Should you continue using your dog for hunting despite its noticeable discomfort?",(A) Continue using the dog for hunting. \n (B) Stop using the dog for hunting.,dilemmas
"As a parent, you've always encouraged your child to be sociable and make friends. However, you discover that your child has been making friends online and sharing personal information. Do you violate your child's privacy and monitor their online activities to ensure their safety, or do you trust them to make sensible decisions on their own?",(A) Monitor Child's Online Activities. \n (B) Not Monitor Child's Online Activities.,dilemmas
"You are watching a comedy movie in a cinema. During a scene that is culturally offensive, the entire audience starts laughing. Do you join them to avoid standing out, or do you remain silent to uphold your values?",(A) Joining the Laugh. \n (B) Remaining Silent.,dilemmas
"Your grandmother has passed and your family is having a traditional religious funeral that you disagree with. You believe in respecting all beliefs and values, but you also believe in being true to your own convictions. Do you attend the funeral and participate in the religious rites out of respect for your family, or do you abstain from the religious part, possibly causing offense?",(A) Attending and participating in the religious rites. \n (B) Abstaining from the religious rites.,dilemmas
John is a student who is struggling to manage his time effectively. He has a big exam coming up but his friend is also in need of emotional support due to a personal crisis. Should John prioritize his study schedule or devote time to care for his friend?,(A) Prioritize Study Schedule. \n (B) Devote Time to Friend.,dilemmas
"Jake and Mia have been dating secretly at work to avoid any potential office gossip or drama. Mia's best friend, who is also her colleague, starts dating Jake's best friend unaware of Mia and Jake's relationship. Should Mia reveal her relationship with Jake to her best friend to avoid any potential misunderstandings or complications in the future?",(A) Revealing the relationship. \n (B) Not revealing the relationship.,dilemmas
"You are a die-hard fan of an 80s band that has been accused of severe misconduct in the past. You love their music, but you are aware of their wrongdoings and feel conflicted about supporting them by listening to their tracks. Should you continue to listen to their music, indirectly supporting them, or stop listening altogether to uphold your ethical beliefs?",(A) Continue to listen. \n (B) Stop listening.,dilemmas
"A player on your basketball team is secretly taking performance-enhancing drugs. This is giving him an unfair advantage, but he is also leading the team to victory. Should you report him to the coach?",(A) Report him. \n (B) Don't report him.,dilemmas
"You are a dentist observing a homeless man trying to pull out his own tooth. The man is in obvious pain and you have the skills and tools to help him, but doing so could potentially expose you to legal liabilities. Should you intervene and assist the man despite potential legal repercussions?",(A) Assisting the homeless man. \n (B) Not assisting the homeless man.,dilemmas
"Due to the current pandemic, John has been strictly following social distancing guidelines. However, his elderly neighbor needs help with grocery shopping and has no one else to turn to. Should John risk his health and break the social distancing rule to help his neighbor?",(A) Helping the Neighbor. \n (B) Not Helping the Neighbor.,dilemmas
"You're in a group of friends who often use humor at the expense of others. One day, you notice a mutual friend looks genuinely hurt after a barrage of jokes. Do you risk your position in the group by calling out your friends' behavior or stay silent to maintain your social standing?",(A) Calling out friends' behavior. \n (B) Staying silent.,dilemmas
"You're a software developer who has always wanted to start your own company. Your current employer has just started working on a project that's very similar to the idea you've been developing on your side. Do you quit your job to pursue your own venture, potentially making your current employer your future competition, or do you abandon your side project and continue working for your employer? ",(A) Quit job to pursue own venture. \n (B) Abandon side project.,dilemmas
"In a society that values freedom of choice, people have the right to be attracted to whoever they want. Sam, a popular influencer, publicly expresses his attraction only towards slim women, which sparks a debate about body shaming and fostering unrealistic beauty standards. Should Sam continue to express his preferences openly, potentially causing harm to some of his followers' self-esteem?",(A) Expressing Preferences Openly. \n (B) Suppressing Personal Preference.,dilemmas
"You're going out for work and your partner, who has previously shown irresponsible behavior, offers to watch the children. You feel conflicted because you need someone to watch the children but you're uncomfortable with their track record. Do you entrust your children to your partner or look for an alternative childcare?",(A) Entrusting children to the partner. \n (B) Looking for alternative childcare.,dilemmas
"As a parent, you believe in the philosophy of letting children learn from their own mistakes. However, your 5-year-old child wants to touch a hot stove out of curiosity. Do you intervene to prevent potential harm or let them learn the hard way about the danger of heat?",(A) Intervene. \n (B) Do not intervene.,dilemmas
"As a teacher, I have worked hard to form a positive relationship with my students and they seem to genuinely like me. However, a student's parent has accused me of showing favoritism towards some students, sparking a controversy about my teaching methods. Do I change my teaching style to appease the parent, risking my positive relationship with the students, or continue as I am, potentially ignoring a valid concern?",(A) Change teaching style. \n (B) Maintain current teaching style.,dilemmas
